id,title,industry,features
83533,Avatar: Fire and Ash,hollywood,"
                science fiction adventure fantasy sam worthington zoe saldaña sigourney weaver stephen lang oona chaplin witch clone space war tribe sequel alien transhumanism family space adventure family dynamics rival
                hollywood us en
                "
1084242,Zootopia 2,hollywood,"
                animation comedy adventure family mystery ginnifer goodwin jason bateman ke huy quan fortune feimster andy samberg snake bunny fox cop sequel anthropomorphism animals displacement buddy cop buddy comedy complex playful talking animal 3d animation embarrassed excited
                hollywood us en
                "
1228246,Five Nights at Freddy's 2,hollywood,"
                horror thriller josh hutcherson piper rubio elizabeth lail matthew lillard freddy carter killer robot pizzeria sequel serial killer security guard based on video game theme park dead children aftercreditsstinger duringcreditsstinger haunted attractions night guard animatronic possessed doll supernatural horror ghost child slasher horror android horror
                hollywood us en
                "
1512623,Risqué,hollywood,"
                action crime thriller leah gibson eloise lovell anderson silvia orduna rex adams julia strowski stripper heist revenge thriller
                hollywood us en
                "
425274,Now You See Me: Now You Don't,hollywood,"
                thriller crime mystery jesse eisenberg dominic sessa ariana greenblatt justice smith rosamund pike diamond sequel illusionist team up cliché disrespectful
                hollywood us en
                "
1439112,Muzzle: City of Wolves,hollywood,"
                action thriller mystery aaron eckhart tanya van graan karl thaning nicole fortuin adrian collins police dog lapd
                hollywood us en
                "
755898,War of the Worlds,hollywood,"
                science fiction thriller ice cube eva longoria clark gregg iman benson henry hunter hall government attack privacy surveillance cybersecurity district online privacy screenlife war
                hollywood us en
                "
1336189,Delivery Run,hollywood,"
                action thriller alexander arnold liam james collins joe gallina nadine higgin jussi lampi winter minnesota wilderness slacker salesman snow pursuit goldfish driver road rage traveling salesman american wilderness woodlands snow plow winter storm ice vehicle car delivery driver
                hollywood us en
                "
1195518,The Unholy Trinity,hollywood,"
                western adventure crime pierce brosnan samuel l. jackson brandon lessard veronica ferres gianni capaldi montana false accusations 19th century imminent execution 1870s independent film
                hollywood us en
                "
76600,Avatar: The Way of Water,hollywood,"
                action adventure science fiction sam worthington zoe saldaña sigourney weaver stephen lang kate winslet dying and death loss of loved one alien life-form resurrection dysfunctional family sequel alien planet distant future adopted child rebirth family dynamics adopted son stronger villain war stereoscopic film sentimental awestruck hopeful modest
                hollywood us en
                "
1196067,Worldbreaker,hollywood,"
                science fiction action milla jovovich luke evans billie boullet meadow williams mila harris monster climate change global warming
                hollywood us en
                "
798645,The Running Man,hollywood,"
                action thriller science fiction glen powell josh brolin colman domingo lee pace michael cera based on novel or book dark comedy survival on the run television network near future malicious depressing mean spirited dystopian future dystopian sci-fi
                hollywood us en
                "
812583,Wake Up Dead Man: A Knives Out Mystery,hollywood,"
                thriller mystery comedy daniel craig josh o'connor glenn close josh brolin mila kunis detective investigation sequel murder whodunit mysterious murder mystery upstate new york tense hopeful
                hollywood us en
                "
1242898,Predator: Badlands,hollywood,"
                action science fiction adventure elle fanning dimitrius schuster-koloamatangi ravi narayan michael homick stefan grube survival outcast alien planet thoughtful team up negative arrogant condescending farcical ridiculous
                hollywood us en
                "
533533,TRON: Ares,hollywood,"
                science fiction adventure action jared leto greta lee evan peters gillian anderson jodie turner-smith artificial intelligence (a.i.) computer program simulation computer simulation sequel business rivalry real world digital world
                hollywood us en
                "
19995,Avatar,hollywood,"
                action adventure fantasy science fiction sam worthington zoe saldaña sigourney weaver stephen lang michelle rodriguez paraplegic attachment to nature culture clash indigenous space travel space colony tribe alien planet distant future marine battle love affair scientist nature native peoples power relations tribal customs tribal people tribal chief cryonics spiritual community 22nd century save the planet racial discrimination soldiers awestruck bold exhilarated
                hollywood us en
                "
